PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
65,0,1,male,,0,0,27.7208,,C
66,1,3,male,,1,1,15.2458,,C
67,1,2,female,29,0,0,10.5,F33,S
68,0,3,male,19,0,0,8.1583,,S
69,1,3,female,17,4,2,7.925,,S
70,0,3,male,26,2,0,8.6625,,S
71,0,2,male,32,0,0,10.5,,S
72,0,3,female,16,5,2,46.9,,S
73,0,2,male,21,0,0,73.5,,S
74,0,3,male,26,1,0,14.4542,,C
75,1,3,male,32,0,0,56.4958,,S
76,0,3,male,25,0,0,7.65,F G73,S
77,0,3,male,,0,0,7.8958,,S
78,0,3,male,,0,0,8.05,,S
79,1,2,male,0.83,0,2,29,,S
80,1,3,female,30,0,0,12.475,,S
81,0,3,male,22,0,0,9,,S
82,1,3,male,29,0,0,9.5,,S
83,1,3,female,,0,0,7.7875,,Q
84,0,1,male,28,0,0,47.1,,S
85,1,2,female,17,0,0,10.5,,S
86,1,3,female,33,3,0,15.85,,S
87,0,3,male,16,1,3,34.375,,S
88,0,3,male,,0,0,8.05,,S
89,1,1,female,23,3,2,263,C23 C25 C27,S
90,0,3,male,24,0,0,8.05,,S
91,0,3,male,29,0,0,8.05,,S
92,0,3,male,20,0,0,7.8542,,S
93,0,1,male,46,1,0,61.175,E31,S
94,0,3,male,26,1,2,20.575,,S
95,0,3,male,59,0,0,7.25,,S
96,0,3,male,,0,0,8.05,,S
97,0,1,male,71,0,0,34.6542,A5,C
98,1,1,male,23,0,1,63.3583,D10 D12,C
99,1,2,female,34,0,1,23,,S
100,0,2,male,34,1,0,26,,S
101,0,3,female,28,0,0,7.8958,,S
102,0,3,male,,0,0,7.8958,,S
103,0,1,male,21,0,1,77.2875,D26,S
104,0,3,male,33,0,0,8.6542,,S
105,0,3,male,37,2,0,7.925,,S
106,0,3,male,28,0,0,7.8958,,S
107,1,3,female,21,0,0,7.65,,S
108,1,3,male,,0,0,7.775,,S
109,0,3,male,38,0,0,7.8958,,S
110,1,3,female,,1,0,24.15,,Q
111,0,1,male,47,0,0,52,C110,S
112,0,3,female,14.5,1,0,14.4542,,C
113,0,3,male,22,0,0,8.05,,S
114,0,3,female,20,1,0,9.825,,S
115,0,3,female,17,0,0,14.4583,,C
116,0,3,male,21,0,0,7.925,,S
117,0,3,male,70.5,0,0,7.75,,Q
118,0,2,male,29,1,0,21,,S
119,0,1,male,24,0,1,247.5208,B58 B60,C
120,0,3,female,2,4,2,31.275,,S
121,0,2,male,21,2,0,73.5,,S
122,0,3,male,,0,0,8.05,,S
123,0,2,male,32.5,1,0,30.0708,,C
124,1,2,female,32.5,0,0,13,E101,S
125,0,1,male,54,0,1,77.2875,D26,S
126,1,3,male,12,1,0,11.2417,,C
127,0,3,male,,0,0,7.75,,Q
128,1,3,male,24,0,0,7.1417,,S
129,1,3,female,,1,1,22.3583,F E69,C
130,0,3,male,45,0,0,6.975,,S
131,0,3,male,33,0,0,7.8958,,C
132,0,3,male,20,0,0,7.05,,S
133,0,3,female,47,1,0,14.5,,S
134,1,2,female,29,1,0,26,,S
135,0,2,male,25,0,0,13,,S
136,0,2,male,23,0,0,15.0458,,C
137,1,1,female,19,0,2,26.2833,D47,S
138,0,1,male,37,1,0,53.1,C123,S
139,0,3,male,16,0,0,9.2167,,S
140,0,1,male,24,0,0,79.2,B86,C
141,0,3,female,,0,2,15.2458,,C
142,1,3,female,22,0,0,7.75,,S
143,1,3,female,24,1,0,15.85,,S
144,0,3,male,19,0,0,6.75,,Q
145,0,2,male,18,0,0,11.5,,S
146,0,2,male,19,1,1,36.75,,S
147,1,3,male,27,0,0,7.7958,,S
148,0,3,female,9,2,2,34.375,,S
149,0,2,male,36.5,0,2,26,F2,S
150,0,2,male,42,0,0,13,,S
151,0,2,male,51,0,0,12.525,,S
152,1,1,female,22,1,0,66.6,C2,S
153,0,3,male,55.5,0,0,8.05,,S
154,0,3,male,40.5,0,2,14.5,,S
155,0,3,male,,0,0,7.3125,,S
156,0,1,male,51,0,1,61.3792,,C
157,1,3,female,16,0,0,7.7333,,Q
158,0,3,male,30,0,0,8.05,,S
159,0,3,male,,0,0,8.6625,,S
160,0,3,male,,8,2,69.55,,S
161,0,3,male,44,0,1,16.1,,S
162,1,2,female,40,0,0,15.75,,S
163,0,3,male,26,0,0,7.775,,S
164,0,3,male,17,0,0,8.6625,,S
165,0,3,male,1,4,1,39.6875,,S
166,1,3,male,9,0,2,20.525,,S
167,1,1,female,,0,1,55,E33,S
168,0,3,female,45,1,4,27.9,,S
169,0,1,male,,0,0,25.925,,S
170,0,3,male,28,0,0,56.4958,,S
171,0,1,male,61,0,0,33.5,B19,S
172,0,3,male,4,4,1,29.125,,Q
173,1,3,female,1,1,1,11.1333,,S
174,0,3,male,21,0,0,7.925,,S
175,0,1,male,56,0,0,30.6958,A7,C
176,0,3,male,18,1,1,7.8542,,S
177,0,3,male,,3,1,25.4667,,S
178,0,1,female,50,0,0,28.7125,C49,C
179,0,2,male,30,0,0,13,,S
180,0,3,male,36,0,0,0,,S
181,0,3,female,,8,2,69.55,,S
182,0,2,male,,0,0,15.05,,C
183,0,3,male,9,4,2,31.3875,,S
184,1,2,male,1,2,1,39,F4,S
185,1,3,female,4,0,2,22.025,,S
186,0,1,male,,0,0,50,A32,S
187,1,3,female,,1,0,15.5,,Q
188,1,1,male,45,0,0,26.55,,S
189,0,3,male,40,1,1,15.5,,Q
190,0,3,male,36,0,0,7.8958,,S
191,1,2,female,32,0,0,13,,S
192,0,2,male,19,0,0,13,,S
193,1,3,female,19,1,0,7.8542,,S
194,1,2,male,3,1,1,26,F2,S
195,1,1,female,44,0,0,27.7208,B4,C
196,1,1,female,58,0,0,146.5208,B80,C
197,0,3,male,,0,0,7.75,,Q
198,0,3,male,42,0,1,8.4042,,S
199,1,3,female,,0,0,7.75,,Q
200,0,2,female,24,0,0,13,,S
201,0,3,male,28,0,0,9.5,,S
202,0,3,male,,8,2,69.55,,S
203,0,3,male,34,0,0,6.4958,,S
204,0,3,male,45.5,0,0,7.225,,C
205,1,3,male,18,0,0,8.05,,S
206,0,3,female,2,0,1,10.4625,G6,S
207,0,3,male,32,1,0,15.85,,S
208,1,3,male,26,0,0,18.7875,,C
209,1,3,female,16,0,0,7.75,,Q
210,1,1,male,40,0,0,31,A31,C
211,0,3,male,24,0,0,7.05,,S
212,1,2,female,35,0,0,21,,S
213,0,3,male,22,0,0,7.25,,S
214,0,2,male,30,0,0,13,,S
215,0,3,male,,1,0,7.75,,Q
216,1,1,female,31,1,0,113.275,D36,C
217,1,3,female,27,0,0,7.925,,S
218,0,2,male,42,1,0,27,,S
219,1,1,female,32,0,0,76.2917,D15,C
220,0,2,male,30,0,0,10.5,,S
221,1,3,male,16,0,0,8.05,,S
222,0,2,male,27,0,0,13,,S
223,0,3,male,51,0,0,8.05,,S
224,0,3,male,,0,0,7.8958,,S
225,1,1,male,38,1,0,90,C93,S
226,0,3,male,22,0,0,9.35,,S
227,1,2,male,19,0,0,10.5,,S
228,0,3,male,20.5,0,0,7.25,,S
229,0,2,male,18,0,0,13,,S
230,0,3,female,,3,1,25.4667,,S
231,1,1,female,35,1,0,83.475,C83,S
232,0,3,male,29,0,0,7.775,,S
233,0,2,male,59,0,0,13.5,,S
234,1,3,female,5,4,2,31.3875,,S
235,0,2,male,24,0,0,10.5,,S
236,0,3,female,,0,0,7.55,,S
237,0,2,male,44,1,0,26,,S
238,1,2,female,8,0,2,26.25,,S
239,0,2,male,19,0,0,10.5,,S
240,0,2,male,33,0,0,12.275,,S
241,0,3,female,,1,0,14.4542,,C
242,1,3,female,,1,0,15.5,,Q
243,0,2,male,29,0,0,10.5,,S
244,0,3,male,22,0,0,7.125,,S
245,0,3,male,30,0,0,7.225,,C
246,0,1,male,44,2,0,90,C78,Q
247,0,3,female,25,0,0,7.775,,S
248,1,2,female,24,0,2,14.5,,S
249,1,1,male,37,1,1,52.5542,D35,S
250,0,2,male,54,1,0,26,,S
251,0,3,male,,0,0,7.25,,S
252,0,3,female,29,1,1,10.4625,G6,S
253,0,1,male,62,0,0,26.55,C87,S
254,0,3,male,30,1,0,16.1,,S
255,0,3,female,41,0,2,20.2125,,S
256,1,3,female,29,0,2,15.2458,,C
257,1,1,female,,0,0,79.2,,C
258,1,1,female,30,0,0,86.5,B77,S
259,1,1,female,35,0,0,512.3292,,C
260,1,2,female,50,0,1,26,,S
261,0,3,male,,0,0,7.75,,Q
262,1,3,male,3,4,2,31.3875,,S
263,0,1,male,52,1,1,79.65,E67,S
264,0,1,male,40,0,0,0,B94,S
265,0,3,female,,0,0,7.75,,Q
266,0,2,male,36,0,0,10.5,,S
267,0,3,male,16,4,1,39.6875,,S
268,1,3,male,25,1,0,7.775,,S
269,1,1,female,58,0,1,153.4625,C125,S
270,1,1,female,35,0,0,135.6333,C99,S
271,0,1,male,,0,0,31,,S
272,1,3,male,25,0,0,0,,S
273,1,2,female,41,0,1,19.5,,S
274,0,1,male,37,0,1,29.7,C118,C
275,1,3,female,,0,0,7.75,,Q
276,1,1,female,63,1,0,77.9583,D7,S
277,0,3,female,45,0,0,7.75,,S
278,0,2,male,,0,0,0,,S
279,0,3,male,7,4,1,29.125,,Q
280,1,3,female,35,1,1,20.25,,S
281,0,3,male,65,0,0,7.75,,Q
282,0,3,male,28,0,0,7.8542,,S
283,0,3,male,16,0,0,9.5,,S
284,1,3,male,19,0,0,8.05,,S
285,0,1,male,,0,0,26,A19,S
286,0,3,male,33,0,0,8.6625,,C
287,1,3,male,30,0,0,9.5,,S
288,0,3,male,22,0,0,7.8958,,S
289,1,2,male,42,0,0,13,,S
290,1,3,female,22,0,0,7.75,,Q
291,1,1,female,26,0,0,78.85,,S
292,1,1,female,19,1,0,91.0792,B49,C
293,0,2,male,36,0,0,12.875,D,C
294,0,3,female,24,0,0,8.85,,S
295,0,3,male,24,0,0,7.8958,,S
296,0,1,male,,0,0,27.7208,,C
297,0,3,male,23.5,0,0,7.2292,,C
298,0,1,female,2,1,2,151.55,C22 C26,S
299,1,1,male,,0,0,30.5,C106,S
300,1,1,female,50,0,1,247.5208,B58 B60,C
301,1,3,female,,0,0,7.75,,Q
302,1,3,male,,2,0,23.25,,Q
303,0,3,male,19,0,0,0,,S
304,1,2,female,,0,0,12.35,E101,Q
305,0,3,male,,0,0,8.05,,S
306,1,1,male,0.92,1,2,151.55,C22 C26,S
307,1,1,female,,0,0,110.8833,,C
308,1,1,female,17,1,0,108.9,C65,C
309,0,2,male,30,1,0,24,,C
310,1,1,female,30,0,0,56.9292,E36,C
311,1,1,female,24,0,0,83.1583,C54,C
312,1,1,female,18,2,2,262.375,B57 B59 B63 B66,C
313,0,2,female,26,1,1,26,,S
314,0,3,male,28,0,0,7.8958,,S
315,0,2,male,43,1,1,26.25,,S
316,1,3,female,26,0,0,7.8542,,S
317,1,2,female,24,1,0,26,,S
318,0,2,male,54,0,0,14,,S
319,1,1,female,31,0,2,164.8667,C7,S
320,1,1,female,40,1,1,134.5,E34,C
321,0,3,male,22,0,0,7.25,,S
322,0,3,male,27,0,0,7.8958,,S
323,1,2,female,30,0,0,12.35,,Q
324,1,2,female,22,1,1,29,,S
325,0,3,male,,8,2,69.55,,S
326,1,1,female,36,0,0,135.6333,C32,C
327,0,3,male,61,0,0,6.2375,,S
328,1,2,female,36,0,0,13,D,S
329,1,3,female,31,1,1,20.525,,S
330,1,1,female,16,0,1,57.9792,B18,C
331,1,3,female,,2,0,23.25,,Q
332,0,1,male,45.5,0,0,28.5,C124,S
333,0,1,male,38,0,1,153.4625,C91,S
334,0,3,male,16,2,0,18,,S
335,1,1,female,,1,0,133.65,,S
336,0,3,male,,0,0,7.8958,,S
337,0,1,male,29,1,0,66.6,C2,S
338,1,1,female,41,0,0,134.5,E40,C
339,1,3,male,45,0,0,8.05,,S
340,0,1,male,45,0,0,35.5,T,S
341,1,2,male,2,1,1,26,F2,S
342,1,1,female,24,3,2,263,C23 C25 C27,S
343,0,2,male,28,0,0,13,,S
344,0,2,male,25,0,0,13,,S
345,0,2,male,36,0,0,13,,S
346,1,2,female,24,0,0,13,F33,S
347,1,2,female,40,0,0,13,,S
348,1,3,female,,1,0,16.1,,S
349,1,3,male,3,1,1,15.9,,S
350,0,3,male,42,0,0,8.6625,,S
351,0,3,male,23,0,0,9.225,,S
352,0,1,male,,0,0,35,C128,S
353,0,3,male,15,1,1,7.2292,,C
354,0,3,male,25,1,0,17.8,,S
355,0,3,male,,0,0,7.225,,C
356,0,3,male,28,0,0,9.5,,S
357,1,1,female,22,0,1,55,E33,S
358,0,2,female,38,0,0,13,,S
359,1,3,female,,0,0,7.8792,,Q
360,1,3,female,,0,0,7.8792,,Q
361,0,3,male,40,1,4,27.9,,S
362,0,2,male,29,1,0,27.7208,,C
363,0,3,female,45,0,1,14.4542,,C
364,0,3,male,35,0,0,7.05,,S
365,0,3,male,,1,0,15.5,,Q
366,0,3,male,30,0,0,7.25,,S
367,1,1,female,60,1,0,75.25,D37,C
368,1,3,female,,0,0,7.2292,,C
369,1,3,female,,0,0,7.75,,Q
370,1,1,female,24,0,0,69.3,B35,C
371,1,1,male,25,1,0,55.4417,E50,C
372,0,3,male,18,1,0,6.4958,,S
373,0,3,male,19,0,0,8.05,,S
374,0,1,male,22,0,0,135.6333,,C
375,0,3,female,3,3,1,21.075,,S
376,1,1,female,,1,0,82.1708,,C
377,1,3,female,22,0,0,7.25,,S
378,0,1,male,27,0,2,211.5,C82,C
379,0,3,male,20,0,0,4.0125,,C
380,0,3,male,19,0,0,7.775,,S
381,1,1,female,42,0,0,227.525,,C
382,1,3,female,1,0,2,15.7417,,C
383,0,3,male,32,0,0,7.925,,S
384,1,1,female,35,1,0,52,,S
385,0,3,male,,0,0,7.8958,,S
386,0,2,male,18,0,0,73.5,,S
387,0,3,male,1,5,2,46.9,,S
388,1,2,female,36,0,0,13,,S
389,0,3,male,,0,0,7.7292,,Q
390,1,2,female,17,0,0,12,,C
391,1,1,male,36,1,2,120,B96 B98,S
392,1,3,male,21,0,0,7.7958,,S
393,0,3,male,28,2,0,7.925,,S
394,1,1,female,23,1,0,113.275,D36,C
395,1,3,female,24,0,2,16.7,G6,S
396,0,3,male,22,0,0,7.7958,,S
397,0,3,female,31,0,0,7.8542,,S
398,0,2,male,46,0,0,26,,S
399,0,2,male,23,0,0,10.5,,S
400,1,2,female,28,0,0,12.65,,S
401,1,3,male,39,0,0,7.925,,S
402,0,3,male,26,0,0,8.05,,S
403,0,3,female,21,1,0,9.825,,S
404,0,3,male,28,1,0,15.85,,S
405,0,3,female,20,0,0,8.6625,,S
406,0,2,male,34,1,0,21,,S
407,0,3,male,51,0,0,7.75,,S
408,1,2,male,3,1,1,18.75,,S
409,0,3,male,21,0,0,7.775,,S
410,0,3,female,,3,1,25.4667,,S
411,0,3,male,,0,0,7.8958,,S
412,0,3,male,,0,0,6.8583,,Q
413,1,1,female,33,1,0,90,C78,Q
414,0,2,male,,0,0,0,,S
415,1,3,male,44,0,0,7.925,,S
416,0,3,female,,0,0,8.05,,S
417,1,2,female,34,1,1,32.5,,S
418,1,2,female,18,0,2,13,,S
419,0,2,male,30,0,0,13,,S
420,0,3,female,10,0,2,24.15,,S
421,0,3,male,,0,0,7.8958,,C
422,0,3,male,21,0,0,7.7333,,Q
423,0,3,male,29,0,0,7.875,,S
424,0,3,female,28,1,1,14.4,,S
425,0,3,male,18,1,1,20.2125,,S
426,0,3,male,,0,0,7.25,,S
427,1,2,female,28,1,0,26,,S
428,1,2,female,19,0,0,26,,S
429,0,3,male,,0,0,7.75,,Q
430,1,3,male,32,0,0,8.05,E10,S
431,1,1,male,28,0,0,26.55,C52,S
432,1,3,female,,1,0,16.1,,S
433,1,2,female,42,1,0,26,,S
434,0,3,male,17,0,0,7.125,,S
435,0,1,male,50,1,0,55.9,E44,S
436,1,1,female,14,1,2,120,B96 B98,S
437,0,3,female,21,2,2,34.375,,S
438,1,2,female,24,2,3,18.75,,S
439,0,1,male,64,1,4,263,C23 C25 C27,S
440,0,2,male,31,0,0,10.5,,S
441,1,2,female,45,1,1,26.25,,S
442,0,3,male,20,0,0,9.5,,S
443,0,3,male,25,1,0,7.775,,S
444,1,2,female,28,0,0,13,,S
445,1,3,male,,0,0,8.1125,,S
446,1,1,male,4,0,2,81.8583,A34,S
447,1,2,female,13,0,1,19.5,,S
448,1,1,male,34,0,0,26.55,,S
449,1,3,female,5,2,1,19.2583,,C
450,1,1,male,52,0,0,30.5,C104,S
451,0,2,male,36,1,2,27.75,,S
452,0,3,male,,1,0,19.9667,,S
453,0,1,male,30,0,0,27.75,C111,C
454,1,1,male,49,1,0,89.1042,C92,C
455,0,3,male,,0,0,8.05,,S
456,1,3,male,29,0,0,7.8958,,C
457,0,1,male,65,0,0,26.55,E38,S
458,1,1,female,,1,0,51.8625,D21,S
459,1,2,female,50,0,0,10.5,,S
460,0,3,male,,0,0,7.75,,Q
461,1,1,male,48,0,0,26.55,E12,S
462,0,3,male,34,0,0,8.05,,S
463,0,1,male,47,0,0,38.5,E63,S
464,0,2,male,48,0,0,13,,S
465,0,3,male,,0,0,8.05,,S
466,0,3,male,38,0,0,7.05,,S
467,0,2,male,,0,0,0,,S
468,0,1,male,56,0,0,26.55,,S
469,0,3,male,,0,0,7.725,,Q
470,1,3,female,0.75,2,1,19.2583,,C
471,0,3,male,,0,0,7.25,,S
472,0,3,male,38,0,0,8.6625,,S
473,1,2,female,33,1,2,27.75,,S
474,1,2,female,23,0,0,13.7917,D,C
475,0,3,female,22,0,0,9.8375,,S
476,0,1,male,,0,0,52,A14,S
477,0,2,male,34,1,0,21,,S
478,0,3,male,29,1,0,7.0458,,S
479,0,3,male,22,0,0,7.5208,,S
480,1,3,female,2,0,1,12.2875,,S
481,0,3,male,9,5,2,46.9,,S
482,0,2,male,,0,0,0,,S
483,0,3,male,50,0,0,8.05,,S
484,1,3,female,63,0,0,9.5875,,S
485,1,1,male,25,1,0,91.0792,B49,C
486,0,3,female,,3,1,25.4667,,S
487,1,1,female,35,1,0,90,C93,S
488,0,1,male,58,0,0,29.7,B37,C
489,0,3,male,30,0,0,8.05,,S
490,1,3,male,9,1,1,15.9,,S
491,0,3,male,,1,0,19.9667,,S
492,0,3,male,21,0,0,7.25,,S
493,0,1,male,55,0,0,30.5,C30,S
494,0,1,male,71,0,0,49.5042,,C
495,0,3,male,21,0,0,8.05,,S
496,0,3,male,,0,0,14.4583,,C
497,1,1,female,54,1,0,78.2667,D20,C
498,0,3,male,,0,0,15.1,,S
499,0,1,female,25,1,2,151.55,C22 C26,S
500,0,3,male,24,0,0,7.7958,,S
501,0,3,male,17,0,0,8.6625,,S
502,0,3,female,21,0,0,7.75,,Q
503,0,3,female,,0,0,7.6292,,Q
504,0,3,female,37,0,0,9.5875,,S
505,1,1,female,16,0,0,86.5,B79,S
506,0,1,male,18,1,0,108.9,C65,C
507,1,2,female,33,0,2,26,,S
508,1,1,male,,0,0,26.55,,S
509,0,3,male,28,0,0,22.525,,S
510,1,3,male,26,0,0,56.4958,,S
511,1,3,male,29,0,0,7.75,,Q
512,0,3,male,,0,0,8.05,,S
513,1,1,male,36,0,0,26.2875,E25,S
514,1,1,female,54,1,0,59.4,,C
515,0,3,male,24,0,0,7.4958,,S
516,0,1,male,47,0,0,34.0208,D46,S
517,1,2,female,34,0,0,10.5,F33,S
518,0,3,male,,0,0,24.15,,Q
519,1,2,female,36,1,0,26,,S
520,0,3,male,32,0,0,7.8958,,S
521,1,1,female,30,0,0,93.5,B73,S
522,0,3,male,22,0,0,7.8958,,S
523,0,3,male,,0,0,7.225,,C
524,1,1,female,44,0,1,57.9792,B18,C
525,0,3,male,,0,0,7.2292,,C
526,0,3,male,40.5,0,0,7.75,,Q
527,1,2,female,50,0,0,10.5,,S
528,0,1,male,,0,0,221.7792,C95,S
529,0,3,male,39,0,0,7.925,,S
530,0,2,male,23,2,1,11.5,,S
531,1,2,female,2,1,1,26,,S
532,0,3,male,,0,0,7.2292,,C
533,0,3,male,17,1,1,7.2292,,C
534,1,3,female,,0,2,22.3583,,C
535,0,3,female,30,0,0,8.6625,,S
536,1,2,female,7,0,2,26.25,,S
537,0,1,male,45,0,0,26.55,B38,S
538,1,1,female,30,0,0,106.425,,C
539,0,3,male,,0,0,14.5,,S
540,1,1,female,22,0,2,49.5,B39,C
541,1,1,female,36,0,2,71,B22,S
542,0,3,female,9,4,2,31.275,,S
543,0,3,female,11,4,2,31.275,,S
544,1,2,male,32,1,0,26,,S
545,0,1,male,50,1,0,106.425,C86,C
546,0,1,male,64,0,0,26,,S
547,1,2,female,19,1,0,26,,S
548,1,2,male,,0,0,13.8625,,C
549,0,3,male,33,1,1,20.525,,S
550,1,2,male,8,1,1,36.75,,S
551,1,1,male,17,0,2,110.8833,C70,C
552,0,2,male,27,0,0,26,,S
553,0,3,male,,0,0,7.8292,,Q
554,1,3,male,22,0,0,7.225,,C
555,1,3,female,22,0,0,7.775,,S
556,0,1,male,62,0,0,26.55,,S
557,1,1,female,48,1,0,39.6,A16,C
558,0,1,male,,0,0,227.525,,C
559,1,1,female,39,1,1,79.65,E67,S
560,1,3,female,36,1,0,17.4,,S
561,0,3,male,,0,0,7.75,,Q
562,0,3,male,40,0,0,7.8958,,S
563,0,2,male,28,0,0,13.5,,S
564,0,3,male,,0,0,8.05,,S
565,0,3,female,,0,0,8.05,,S
566,0,3,male,24,2,0,24.15,,S
567,0,3,male,19,0,0,7.8958,,S
568,0,3,female,29,0,4,21.075,,S
569,0,3,male,,0,0,7.2292,,C
570,1,3,male,32,0,0,7.8542,,S
571,1,2,male,62,0,0,10.5,,S
572,1,1,female,53,2,0,51.4792,C101,S
573,1,1,male,36,0,0,26.3875,E25,S
574,1,3,female,,0,0,7.75,,Q
575,0,3,male,16,0,0,8.05,,S
576,0,3,male,19,0,0,14.5,,S
577,1,2,female,34,0,0,13,,S
578,1,1,female,39,1,0,55.9,E44,S
579,0,3,female,,1,0,14.4583,,C
580,1,3,male,32,0,0,7.925,,S
581,1,2,female,25,1,1,30,,S
582,1,1,female,39,1,1,110.8833,C68,C
583,0,2,male,54,0,0,26,,S
584,0,1,male,36,0,0,40.125,A10,C
585,0,3,male,,0,0,8.7125,,C
586,1,1,female,18,0,2,79.65,E68,S
587,0,2,male,47,0,0,15,,S
588,1,1,male,60,1,1,79.2,B41,C
589,0,3,male,22,0,0,8.05,,S
590,0,3,male,,0,0,8.05,,S
591,0,3,male,35,0,0,7.125,,S
592,1,1,female,52,1,0,78.2667,D20,C
593,0,3,male,47,0,0,7.25,,S
594,0,3,female,,0,2,7.75,,Q
595,0,2,male,37,1,0,26,,S
596,0,3,male,36,1,1,24.15,,S
597,1,2,female,,0,0,33,,S
598,0,3,male,49,0,0,0,,S
599,0,3,male,,0,0,7.225,,C
600,1,1,male,49,1,0,56.9292,A20,C
601,1,2,female,24,2,1,27,,S
602,0,3,male,,0,0,7.8958,,S
603,0,1,male,,0,0,42.4,,S
604,0,3,male,44,0,0,8.05,,S
605,1,1,male,35,0,0,26.55,,C
606,0,3,male,36,1,0,15.55,,S
607,0,3,male,30,0,0,7.8958,,S
608,1,1,male,27,0,0,30.5,,S
609,1,2,female,22,1,2,41.5792,,C
610,1,1,female,40,0,0,153.4625,C125,S
611,0,3,female,39,1,5,31.275,,S
612,0,3,male,,0,0,7.05,,S
613,1,3,female,,1,0,15.5,,Q
614,0,3,male,,0,0,7.75,,Q
615,0,3,male,35,0,0,8.05,,S
616,1,2,female,24,1,2,65,,S
617,0,3,male,34,1,1,14.4,,S
618,0,3,female,26,1,0,16.1,,S
619,1,2,female,4,2,1,39,F4,S
620,0,2,male,26,0,0,10.5,,S
621,0,3,male,27,1,0,14.4542,,C
622,1,1,male,42,1,0,52.5542,D19,S
623,1,3,male,20,1,1,15.7417,,C
624,0,3,male,21,0,0,7.8542,,S
625,0,3,male,21,0,0,16.1,,S
626,0,1,male,61,0,0,32.3208,D50,S
627,0,2,male,57,0,0,12.35,,Q
628,1,1,female,21,0,0,77.9583,D9,S
629,0,3,male,26,0,0,7.8958,,S
630,0,3,male,,0,0,7.7333,,Q
631,1,1,male,80,0,0,30,A23,S
632,0,3,male,51,0,0,7.0542,,S
633,1,1,male,32,0,0,30.5,B50,C
634,0,1,male,,0,0,0,,S
635,0,3,female,9,3,2,27.9,,S
636,1,2,female,28,0,0,13,,S
637,0,3,male,32,0,0,7.925,,S
638,0,2,male,31,1,1,26.25,,S
639,0,3,female,41,0,5,39.6875,,S
640,0,3,male,,1,0,16.1,,S
641,0,3,male,20,0,0,7.8542,,S
642,1,1,female,24,0,0,69.3,B35,C
643,0,3,female,2,3,2,27.9,,S
644,1,3,male,,0,0,56.4958,,S
645,1,3,female,0.75,2,1,19.2583,,C
646,1,1,male,48,1,0,76.7292,D33,C
647,0,3,male,19,0,0,7.8958,,S
648,1,1,male,56,0,0,35.5,A26,C
